prodcode,productname,add,apd,hyp
16323,perphenazine 2mg with amitriptyline 10mg tablet,1,1,
595,amitriptyline 25mg / perphenazine 2mg tablets,1,1,
1453,triptafen m 2mg+10mg tablet (goldshield pharmaceuticals ltd),1,1,
20571,fluphenazine with nortriptyline 500microgramswith10mg tablet,1,1,
1208,triptafen tablets (amco),1,1,
3356,parstelin tablet (glaxosmithkline consumer healthcare),1,1,
38827,triptafen-m tablets (mercury pharma group ltd),1,1,
6894,perphenazine 2mg with amitriptyline 25mg tablet,1,1,
3955,tranylcypromine with trifluoperazine tablet,1,1,
24890,trifluoperazine with tranylcypromine 1mg + 10mg tablet,1,1,
3490,amitriptyline 10mg / perphenazine 2mg tablets,1,1,
8144,bolvidon 20mg tablet (organon laboratories ltd),1,,
55424,venlafaxine,1,,
487,amitriptyline 25mg modified-release capsules,1,,
50892,zispin soltab 15mg orodispersible tablets (necessity supplies ltd),1,,
52074,alventa xl 75mg capsules (consilient health ltd),1,,
12309,viloxazine hcl 50mg tablets,1,,
27733,iprindole hc 30mg,1,,
13151,cymbalta 30mg gastro-resistant capsules (eli lilly and company ltd),1,,
7678,nortriptyline 25mg capsule,1,,
17319,amoxapine 25mg tablets,1,,
34456,fluoxetine 20mg capsules (teva uk ltd),1,,
55146,sertraline 100mg tablets (a a h pharmaceuticals ltd),1,,
60619,fluoxetine 20mg/5ml oral solution (kent pharmaceuticals ltd),1,,
49820,mirtazapine 45mg orodispersible tablets sugar free,1,,
4726,zispin 30mg tablets (organon laboratories ltd),1,,
34046,lofepramine 70mg tablets (a a h pharmaceuticals ltd),1,,
52354,citalopram 20mg tablets (de pharmaceuticals),1,,
11187,protriptyline 10mg tablet,1,,
2486,lentizol 25mg modified-release capsules (pfizer ltd),1,,
10413,sinequan 10mg capsules (pfizer ltd),1,,
40515,venaxx xl 75mg capsules (amco),1,,
41314,rodomel xl 150mg capsules (teva uk ltd),1,,
3554,doxepin 25mg capsules,1,,
43246,mirtazapine 15mg orodispersible tablets (genus pharmaceuticals ltd),1,,
31826,dosulepin 75mg tablets (ivax pharmaceuticals uk ltd),1,,
12125,sinequan 50mg capsules (pfizer ltd),1,,
8585,bolvidon 30mg tablet (organon laboratories ltd),1,,
29339,trazodone 50mg capsules (generics (uk) ltd),1,,
42394,amitriptyline 25mg tablet (crosspharma ltd),1,,
52408,citalopram 10mg tablets (kent pharmaceuticals ltd),1,,
57226,trazodone 25mg/5ml oral suspension,1,,
52824,citalopram 10mg tablets (pliva pharma ltd),1,,
57532,prozac 20mg capsules (waymade healthcare plc),1,,
7979,pertofran 25mg tablet (novartis pharmaceuticals uk ltd),1,,
1612,lustral 50mg tablets (pfizer ltd),1,,
26016,citalopram 20mg tablets (sandoz ltd),1,,
20504,optimax wv tablet (e. merck),1,,
3349,nardil 15mg tablets (archimedes pharma uk ltd),1,,
42247,imipramine 25mg/5ml oral solution sugar free,1,,
18932,evadyne 25mg tablet (wyeth pharmaceuticals),1,,
33624,amitriptyline 50mg tablets (teva uk ltd),1,,
43242,mirtazapine 15mg tablets (genus pharmaceuticals ltd),1,,
6795,mirtazapine 15mg tablets,1,,
54686,tryptophan 500mg capsules,1,,
74,dosulepin 75mg tablets,1,,
11963,limbitrol 10 capsule (roche products ltd),1,,
7468,bolvidon 10mg tablet (organon laboratories ltd),1,,
11956,norval 20mg tablet (bencard),1,,
12227,butriptyline 25mg tablets,1,,
4874,molipaxin 50mg capsules (zentiva),1,,
42107,fluoxetine 20mg capsules (niche generics ltd),1,,
54827,citalopram 10mg/5ml oral suspension,1,,
45304,citalopram 40mg tablets (teva uk ltd),1,,
54012,mirtazapine 15mg orodispersible tablets sugar free (sandoz ltd),1,,
49519,sertraline 100mg/5ml oral suspension,1,,
12549,aventyl 10mg/5ml liquid (eli lilly and company ltd),1,,
35021,paroxetine 10mg tablets,1,,
4297,dutonin 200mg tablets (bristol-myers squibb pharmaceuticals ltd),1,,
34634,amitriptyline 50mg tablets (actavis uk ltd),1,,
45806,venlafaxine 37.5mg modified-release tablets,1,,
3657,anafranil 25mg capsules (novartis pharmaceuticals uk ltd),1,,
53161,clomipramine 50mg/5ml oral solution,1,,
33074,praminil 10mg tablet (ddsa pharmaceuticals ltd),1,,
38890,fluoxetine 20mg capsule (milpharm ltd),1,,
34223,dosulepin 25mg capsules (teva uk ltd),1,,
44937,venlaneo xl 75mg capsules (kent pharmaceuticals ltd),1,,
41062,cipralex 20mg/ml oral drops (lundbeck ltd),1,,
44944,sertraline 100mg tablets (teva uk ltd),1,,
45818,venlalic xl 37.5mg tablets (db ashbourne ltd),1,,
34871,citalopram 20mg tablets (actavis uk ltd),1,,
34499,citalopram 10mg tablets (sandoz ltd),1,,
3083,mianserin 10mg tablets,1,,
33164,dosulepin 25mg capsules (sandoz ltd),1,,
42387,sertraline 50mg tablets (actavis uk ltd),1,,
59358,fluoxetine 20mg capsules (milpharm ltd),1,,
53699,mirtazapine 15mg tablets (actavis uk ltd),1,,
4554,nefazodone 100mg tablets,1,,
45329,fluoxetine 20mg capsules (actavis uk ltd),1,,
47945,mirtazapine 30mg tablets (a a h pharmaceuticals ltd),1,,
17183,aventyl 10mg capsule (eli lilly and company ltd),1,,
2548,fluoxetine 20mg/5ml oral solution,1,,
40048,viepax xl 75mg tablets (dexcel-pharma ltd),1,,
49165,citalopram 10mg tablets (alliance healthcare (distribution) ltd),1,,
8928,surmontil 10mg tablets (sanofi),1,,
2883,moclobemide 150mg tablets,1,,
873,amitriptyline 100 mg tab,1,,
4682,amitriptyline 50mg modified-release capsules,1,,
53326,venlafaxine 75mg/5ml oral solution,1,,
4020,trazodone 150mg tablets,1,,
42803,fluoxetine 20mg/5ml oral solution (ivax pharmaceuticals uk ltd),1,,
41681,imipramine 10mg tablets (a a h pharmaceuticals ltd),1,,
8640,allegron 25mg tablets (king pharmaceuticals ltd),1,,
58625,mirtazapine 45mg tablets (actavis uk ltd),1,,
4011,nefazodone 200mg tablets,1,,
27616,prothiaden,1,,
34224,amitriptyline 25mg/5ml oral solution sugar free (rosemont pharmaceuticals ltd),1,,
43968,foraven xl 75mg capsules (forum products ltd),1,,
53543,zispin soltab 30mg orodispersible tablets (necessity supplies ltd),1,,
40777,doxepin 25mg/5ml oral suspension,1,,
43253,mirtazapine 15mg orodispersible tablets (a a h pharmaceuticals ltd),1,,
41628,clomipramine 10mg capsules (ivax pharmaceuticals uk ltd),1,,
6274,efexor 50mg tablets (wyeth pharmaceuticals),1,,
14398,asendis 50mg tablet (wyeth pharmaceuticals),1,,
34466,citalopram 40mg tablets (sandoz ltd),1,,
15163,edronax 4mg tablets (pfizer ltd),1,,
6405,escitalopram 5mg tablets,1,,
20712,amitriptyline s/r,1,,
19168,dosulepin 25mg/5ml mixture,1,,
48698,mirtazapine 15mg orodispersible tablets sugar free,1,,
31824,dosulepin 25mg capsules (ivax pharmaceuticals uk ltd),1,,
45737,dosulepin 25mg/5ml oral solution (rosemont pharmaceuticals ltd),1,,
41563,clomipramine 25mg capsules (ivax pharmaceuticals uk ltd),1,,
2533,trimipramine 50 mg tab,1,,
40817,tardcaps xl 150mg capsules (ixl pharma ltd),1,,
34580,trazodone 100mg capsules (a a h pharmaceuticals ltd),1,,
34578,lofepramine 70mg tablets (ivax pharmaceuticals uk ltd),1,,
8831,tryptizol mr 75mg modified-release capsule (merck sharp & dohme ltd),1,,
418,prozac 20mg capsules (eli lilly and company ltd),1,,
742,mirtazapine 30mg tablets,1,,
40815,tardcaps xl 75mg capsules (ixl pharma ltd),1,,
59600,sertraline 100mg tablets (almus pharmaceuticals ltd),1,,
6481,mirtazapine 45mg orodispersible tablets,1,,
27008,domical 50mg tablet (berk pharmaceuticals ltd),1,,
34294,fluoxetine 20mg capsules (ivax pharmaceuticals uk ltd),1,,
2532,surmontil 25mg tablets (sanofi),1,,
33090,amitriptyline 10mg tablets (a a h pharmaceuticals ltd),1,,
50,paroxetine 20mg tablets,1,,
57972,amitriptyline 10mg tablets (alliance healthcare (distribution) ltd),1,,
12710,trazodone 150mg modified-release tablets,1,,
7981,desipramine 25mg tablets,1,,
40062,venlalic xl 150mg tablets (db ashbourne ltd),1,,
59650,citalopram 10mg tablets (aurobindo pharma ltd),1,,
2039,trimipramine 25mg tablets,1,,
45316,fluoxetine 20mg capsules (wockhardt uk ltd),1,,
4321,phenelzine 15mg tablets,1,,
3842,doxepin 10mg capsules,1,,
43247,mirtazapine 45mg orodispersible tablets (genus pharmaceuticals ltd),1,,
39145,nortriptyline 10mg/5ml liquid,1,,
49511,venlablue xl 75mg capsules (bluefish pharmaceuticals ab),1,,
30738,amitriptyline s/f,1,,
43257,mirtazapine 15mg tablets (teva uk ltd),1,,
46977,citalopram 40mg tablets (actavis uk ltd),1,,
476,citalopram 10mg tablets,1,,
49,amitriptyline 25mg tablets,1,,
56662,venlafaxine 37.5mg tablets (a a h pharmaceuticals ltd),1,,
26513,clomipramine 25mg/2ml solution for injection ampoules,1,,
27876,amitriptyline,1,,
58450,feprapax 70mg tablets (ashbourne pharmaceuticals ltd),1,,
8332,tryptizol 50mg tablet (merck sharp & dohme ltd),1,,
48185,mirtazapine 30mg orodispersible tablets (almus pharmaceuticals ltd),1,,
12123,faverin 100mg tablets (abbott healthcare products ltd),1,,
58681,venladex xl 75mg tablets (dexcel-pharma ltd),1,,
46926,citalopram 40mg tablets (zentiva),1,,
7910,tofranil 25mg tablets (novartis pharmaceuticals uk ltd),1,,
7122,duloxetine 30mg gastro-resistant capsules,1,,
8174,molipaxin 50mg/5ml oral liquid (sanofi),1,,
60538,mirtazapine 30mg tablets (de pharmaceuticals),1,,
41747,moclobemide 150mg tablets (teva uk ltd),1,,
