readcode,medcode,desc,list_type
E030000,25051,"Acute confusional state, post traumatic",Diagnoses
E28..00,276,Acute reaction to stress,Diagnoses
E283000,20245,Acute situational disturbance,Diagnoses
E29..00,2826,Adjustment reaction,Diagnoses
E293z00,104891,Adjustment reaction with predominant disturbance conduct NOS,Diagnoses
E293.00,16415,Adjustment reaction with predominant disturbance of conduct,Diagnoses
E202100,3076,Agoraphobia with panic attacks,Diagnoses
E202200,12838,Agoraphobia without mention of panic attacks,Diagnoses
E202700,28938,Animal phobia,Diagnoses
E200z00,4534,Anxiety state NOS,Diagnoses
E200000,6939,Anxiety state unspecified,Diagnoses
E200.00,636,Anxiety states,Diagnoses
E200300,655,Anxiety with depression,Diagnoses
E290011,10734,Bereavement reaction,Diagnoses
E202B00,1510,Cancer phobia,Diagnoses
E200400,1758,Chronic anxiety,Diagnoses
E202800,1723,Claustrophobia,Diagnoses
E203000,5678,Compulsive neurosis,Diagnoses
E202C00,2366,Dental phobia,Diagnoses
E206.00,5305,Depersonalisation syndrome,Diagnoses
E201A00,23490,Dissociative reaction unspecified,Diagnoses
E202900,31672,Fear of crowds,Diagnoses
E202D00,10390,Fear of death,Diagnoses
E202A00,4167,Fear of flying,Diagnoses
E202E00,6071,Fear of pregnancy,Diagnoses
E28z.12,20802,Flying phobia,Diagnoses
E200200,4659,Generalised anxiety disorder,Diagnoses
E201612,4143,Globus hystericus,Diagnoses
E290000,2775,Grief reaction,Diagnoses
146G.00,11764,H/O: agoraphobia,Diagnoses
E207.00,966,Hypochondriasis,Diagnoses
E201.00,2188,Hysteria,Diagnoses
E201100,3438,Hysterical blindness,Diagnoses
E201500,16484,Hysterical seizures,Diagnoses
E20z.11,791,Nervous breakdown,Diagnoses
E205.00,3361,Neurasthenia - nervous debility,Diagnoses
E2z..00,42410,Neuroses or other mental disorder NOS,Diagnoses
E20z.00,14780,Neurotic disorder NOS,Diagnoses
225J.00,19000,O/E - panic attack,Diagnoses
E203100,2030,Obsessional neurosis,Diagnoses
E203.00,3208,Obsessive-compulsive disorders,Diagnoses
E201600,15431,Other conversion disorder,Diagnoses
E2y..00,50106,Other specified neuroses or other mental disorders,Diagnoses
E200111,462,Panic attack,Diagnoses
E200100,4069,Panic disorder,Diagnoses
E201C00,24525,Phantom pregnancy,Diagnoses
E202000,2300,Phobia unspecified,Diagnoses
E202.12,9944,Phobic anxiety,Diagnoses
E202z00,14729,Phobic disorder NOS,Diagnoses
E202.00,1907,Phobic disorders,Diagnoses
E13y000,22117,Psychogenic stupor,Diagnoses
E265100,20109,Psychogenic vaginismus,Diagnoses
E26z.00,5067,Psychosomatic disorder NOS,Diagnoses
E200500,4634,Recurrent anxiety,Diagnoses
E202300,16199,"Social phobia, fear of eating in public",Diagnoses
E202500,18603,"Social phobia, fear of public washing",Diagnoses
E202.11,16638,Social phobic disorders,Diagnoses
E20y000,15321,Somatization disorder,Diagnoses
E031000,61238,"Subacute confusional state, post traumatic",Diagnoses
E202z11,38543,Weight fixation,Diagnoses
Eu43012,10535,[X]Acute reaction to stress,Diagnoses
Eu43000,11607,[X]Acute stress reaction,Diagnoses
Eu40000,2571,[X]Agoraphobia,Diagnoses
Eu40011,16729,[X]Agoraphobia without history of panic disorder,Diagnoses
Eu40212,18248,[X]Animal phobias,Diagnoses
Eu41z00,23838,"[X]Anxiety disorder, unspecified",Diagnoses
Eu41111,962,[X]Anxiety neurosis,Diagnoses
Eu45211,12626,[X]Body dysmorphic disorder,Diagnoses
Eu43014,21559,[X]Crisis state,Diagnoses
Eu45212,30680,[X]Dysmorphophobia nondelusional,Diagnoses
Eu46011,9656,[X]Fatigue syndrome,Diagnoses
Eu41100,10344,[X]Generalized anxiety disorder,Diagnoses
Eu43212,21197,[X]Grief reaction,Diagnoses
Eu45213,24264,[X]Hypochondriacal neurosis,Diagnoses
Eu41211,7749,[X]Mild anxiety depression,Diagnoses
Eu41200,11913,[X]Mixed anxiety and depressive disorder,Diagnoses
Eu42200,18399,[X]Mixed obsessional thoughts and acts,Diagnoses
Eu45011,23704,[X]Multiple psychosomatic disorder,Diagnoses
Eu40300,12508,[X]Needle phobia,Diagnoses
Eu4..00,23808,"[X]Neurotic, stress - related and somoform disorders",Diagnoses
Eu42.00,5304,[X]Obsessive - compulsive disorder,Diagnoses
Eu42.12,21836,[X]Obsessive-compulsive neurosis,Diagnoses
Eu41.00,5385,[X]Other anxiety disorders,Diagnoses
Eu41011,6408,[X]Panic attack,Diagnoses
Eu41000,8205,[X]Panic disorder [episodic paroxysmal anxiety],Diagnoses
Eu40012,14890,[X]Panic disorder with agoraphobia,Diagnoses
Eu41012,4081,[X]Panic state,Diagnoses
Eu34114,15220,[X]Persistant anxiety depression,Diagnoses
Eu40z11,7222,[X]Phobia NOS,Diagnoses
Eu40z00,34064,"[X]Phobic anxiety disorder, unspecified",Diagnoses
Eu40.00,9386,[X]Phobic anxiety disorders,Diagnoses
Eu43100,4171,[X]Post - traumatic stress disorder,Diagnoses
Eu42100,22019,[X]Predominantly compulsive acts [obsessional rituals],Diagnoses
Eu42000,20634,[X]Predominantly obsessional thoughts or ruminations,Diagnoses
Eu43015,7813,[X]Psychic shock,Diagnoses
